id,machine_id,timestamp,oee,availability,performance,output_quality,status
1,1,2025-02-01,84.28,96.5,78.69,90.75,Offline
2,2,2025-02-01,94.74,88.78,81.33,93.29,Running
3,3,2025-02-01,89.16,77.55,68.8,60.69,Running
4,4,2025-02-01,79.14,54.13,88.09,80.66,Offline
5,5,2025-02-01,64.19,72.85,56.09,96.91,Offline
6,6,2025-02-01,61.24,81.0,87.22,52.05,Offline
7,7,2025-02-01,54.77,95.76,90.45,75.34,Offline
8,8,2025-02-01,98.55,53.38,76.01,77.9,Running
9,9,2025-02-01,99.83,80.67,95.13,67.84,Offline
10,10,2025-02-01,83.32,69.42,91.17,80.13,Offline
11,11,2025-02-01,97.83,77.96,83.21,93.64,Running
12,12,2025-02-01,70.96,53.5,86.32,98.28,Running
13,13,2025-02-01,96.78,59.94,77.81,97.09,Offline
14,14,2025-02-01,64.9,53.54,89.66,73.68,Running
15,15,2025-02-01,86.42,65.93,79.68,94.93,Offline
16,16,2025-02-01,76.54,91.63,65.56,52.62,Running
17,17,2025-02-01,50.39,72.41,81.41,99.89,Running
18,18,2025-02-01,85.39,87.29,90.33,58.08,Running
19,19,2025-02-01,89.22,61.35,78.21,66.25,Offline
20,20,2025-02-01,96.01,67.47,52.11,65.06,Running
21,21,2025-02-01,85.89,91.83,75.77,65.47,Running
22,22,2025-02-01,96.62,87.27,79.55,73.95,Offline
23,23,2025-02-01,74.77,72.14,79.04,71.47,Offline
24,24,2025-02-01,93.09,96.25,79.91,51.05,Running
25,25,2025-02-01,86.39,64.25,56.26,67.59,Offline
26,26,2025-02-01,77.18,62.2,78.55,57.68,Offline
27,27,2025-02-01,67.01,79.9,88.66,75.52,Offline
28,28,2025-02-01,88.59,91.65,59.39,89.46,Offline
29,29,2025-02-01,57.86,96.75,63.44,53.12,Offline
30,30,2025-02-01,73.66,71.45,53.07,59.09,Running
31,31,2025-02-01,50.67,52.71,86.28,57.76,Running
32,32,2025-02-01,85.52,75.29,59.15,60.32,Running
33,33,2025-02-01,55.82,51.58,89.34,70.04,Offline
34,34,2025-02-01,85.36,79.33,72.45,58.98,Running
35,35,2025-02-01,62.9,73.18,59.45,97.97,Running
36,36,2025-02-01,90.87,80.29,99.6,79.74,Running
37,37,2025-02-01,77.42,58.29,69.32,54.71,Offline
38,38,2025-02-01,56.35,78.69,69.2,98.39,Offline
39,39,2025-02-01,81.84,90.42,75.01,75.75,Running
40,40,2025-02-01,52.13,64.81,51.99,67.16,Running
41,41,2025-02-01,54.61,52.92,93.85,70.09,Running
42,42,2025-02-01,69.77,80.22,69.31,96.79,Running
43,43,2025-02-01,60.77,73.12,75.72,72.74,Running
44,44,2025-02-01,64.63,74.89,66.51,92.76,Running
45,45,2025-02-01,92.08,91.85,81.67,81.55,Offline
46,46,2025-02-01,77.6,96.06,56.49,96.59,Running
47,47,2025-02-01,58.28,68.96,81.78,64.4,Running
48,48,2025-02-01,56.93,95.65,94.95,50.65,Running
49,49,2025-02-01,95.51,63.89,95.2,83.19,Offline
50,50,2025-02-01,82.15,79.45,89.66,79.01,Offline
51,1,2025-02-02,85.67,76.18,90.17,93.79,Running
52,2,2025-02-02,76.53,88.77,52.05,80.13,Running
53,3,2025-02-02,98.16,98.4,98.06,82.41,Offline
54,4,2025-02-02,73.44,55.51,78.71,51.22,Offline
55,5,2025-02-02,72.16,89.47,66.05,87.65,Running
56,6,2025-02-02,99.63,73.2,62.66,95.35,Running
57,7,2025-02-02,62.61,99.07,70.08,57.03,Offline
58,8,2025-02-02,80.17,66.26,83.82,93.54,Offline
59,9,2025-02-02,93.27,73.0,68.18,80.0,Running
60,10,2025-02-02,88.65,69.63,67.45,58.02,Running
61,11,2025-02-02,55.83,98.88,72.09,99.06,Running
62,12,2025-02-02,50.95,63.94,93.99,91.28,Offline
63,13,2025-02-02,90.95,71.72,54.05,66.62,Running
64,14,2025-02-02,53.15,50.77,50.91,53.88,Running
65,15,2025-02-02,79.91,92.2,97.02,85.17,Running
66,16,2025-02-02,72.31,55.82,99.9,64.9,Running
67,17,2025-02-02,59.49,56.14,81.32,50.19,Offline
68,18,2025-02-02,59.41,88.23,72.17,96.59,Running
69,19,2025-02-02,64.33,98.09,69.2,93.42,Offline
70,20,2025-02-02,63.14,99.2,87.71,52.85,Running
71,21,2025-02-02,80.68,76.22,65.97,53.79,Offline
72,22,2025-02-02,63.48,76.35,98.78,85.83,Offline
73,23,2025-02-02,96.7,50.02,67.25,51.88,Running
74,24,2025-02-02,87.59,90.49,93.56,67.84,Running
75,25,2025-02-02,97.09,50.85,95.29,72.25,Offline
76,26,2025-02-02,60.57,73.66,97.7,78.6,Running
77,27,2025-02-02,91.99,55.97,66.96,81.66,Running
78,28,2025-02-02,94.08,79.27,84.59,81.88,Running
79,29,2025-02-02,85.66,63.85,88.69,81.41,Offline
80,30,2025-02-02,89.22,95.55,53.2,69.65,Running
81,31,2025-02-02,63.67,83.59,56.6,57.75,Running
82,32,2025-02-02,52.01,54.39,74.5,70.99,Offline
83,33,2025-02-02,87.42,76.84,54.04,87.03,Offline
84,34,2025-02-02,50.49,52.82,78.73,60.29,Running
