id,machine_id,performed_by,date,notes,planned
1,1,8,2021-04-13,Replaced worn out parts,False
2,1,4,2022-09-15,Replaced worn out parts,True
3,1,1,2023-03-12,Checked calibration,False
4,2,3,2021-04-05,Cleaned machine,False
5,2,6,2022-11-10,Replaced worn out parts,True
6,2,8,2023-09-16,Replaced worn out parts,False
7,3,10,2021-09-21,Replaced worn out parts,False
8,3,7,2022-08-28,Lubricated moving components,True
9,3,1,2023-06-18,Checked calibration,False
10,4,2,2021-09-18,Replaced worn out parts,False
11,4,1,2022-10-15,Lubricated moving components,False
12,4,6,2023-06-24,Checked calibration,False
13,5,6,2021-07-18,Checked calibration,True
14,5,10,2022-07-13,Cleaned machine,False
15,5,1,2023-02-21,Cleaned machine,True
16,6,9,2021-01-27,Checked calibration,True
17,6,2,2022-03-03,Replaced worn out parts,True
18,6,7,2023-01-02,Replaced filters,False
19,7,9,2021-01-14,Replaced worn out parts,False
20,7,8,2022-09-10,Checked calibration,False
21,7,3,2023-01-31,Replaced worn out parts,True
22,8,8,2021-02-01,Replaced filters,False
23,8,9,2022-09-23,Lubricated moving components,True
24,8,1,2023-06-02,Replaced worn out parts,True
25,9,2,2021-11-23,Lubricated moving components,False
26,9,7,2022-10-15,Replaced filters,True
27,9,5,2023-10-02,Lubricated moving components,True
28,10,9,2021-01-15,Replaced filters,True
29,10,3,2022-03-05,Lubricated moving components,True
30,10,2,2023-04-27,Replaced worn out parts,False
31,11,1,2021-12-06,Checked calibration,False
32,11,2,2022-12-13,Checked calibration,False
33,11,10,2023-10-24,Cleaned machine,False
34,12,4,2021-10-23,Checked calibration,False
35,12,3,2022-04-10,Replaced filters,True
36,12,7,2023-07-15,Lubricated moving components,False
37,13,6,2021-07-07,Replaced filters,False
38,13,3,2022-12-23,Lubricated moving components,False
39,13,3,2023-09-05,Checked calibration,True
40,14,8,2021-03-27,Replaced worn out parts,False
41,14,10,2022-09-30,Checked calibration,False
42,14,3,2023-04-17,Lubricated moving components,True
43,15,5,2021-06-03,Replaced worn out parts,True
44,15,3,2022-12-04,Checked calibration,True
45,15,4,2023-05-23,Checked calibration,True
46,16,8,2021-01-29,Replaced worn out parts,False
47,16,6,2022-10-01,Replaced filters,False
48,16,8,2023-06-15,Replaced worn out parts,True
49,17,7,2021-01-17,Replaced worn out parts,False
50,17,10,2022-02-10,Lubricated moving components,True
51,17,8,2023-07-28,Lubricated moving components,True
52,18,2,2021-05-20,Cleaned machine,False
53,18,3,2022-04-10,Replaced filters,True
54,18,7,2023-03-07,Checked calibration,False
55,19,8,2021-06-05,Replaced filters,False
56,19,6,2022-04-18,Checked calibration,False
57,19,5,2023-01-03,Replaced filters,False
58,20,4,2021-12-04,Checked calibration,True
59,20,4,2022-05-05,Checked calibration,True
60,20,7,2023-10-20,Checked calibration,True
61,21,7,2021-06-12,Replaced filters,True
62,21,1,2022-04-20,Checked calibration,False
63,21,10,2023-05-30,Replaced filters,True
64,22,3,2021-05-02,Replaced filters,True
65,22,10,2022-07-02,Lubricated moving components,True
66,22,6,2023-10-13,Lubricated moving components,False
67,23,10,2021-04-21,Replaced filters,False
68,23,7,2022-04-09,Lubricated moving components,True
69,23,5,2023-05-13,Replaced filters,False
70,24,9,2021-03-04,Checked calibration,True
71,24,2,2022-07-16,Lubricated moving components,False
72,24,6,2023-11-10,Cleaned machine,False
73,25,7,2021-08-10,Lubricated moving components,True
74,25,8,2022-11-05,Cleaned machine,True
75,25,8,2023-12-28,Replaced filters,False
76,26,5,2021-05-23,Replaced filters,True
77,26,1,2022-09-14,Lubricated moving components,False
78,26,1,2023-05-23,Cleaned machine,True
79,27,10,2021-05-20,Checked calibration,False
80,27,4,2022-01-14,Cleaned machine,False
81,27,5,2023-06-13,Replaced filters,False
82,28,5,2021-07-12,Checked calibration,False
83,28,7,2022-04-07,Replaced filters,False
84,28,5,2023-04-22,Cleaned machine,False
85,29,7,2021-01-22,Replaced worn out parts,False
86,29,2,2022-11-16,Checked calibration,True
87,29,3,2023-04-09,Checked calibration,False
88,30,4,2021-04-06,Replaced worn out parts,True
89,30,8,2022-08-15,Lubricated moving components,True
90,30,10,2023-04-06,Replaced filters,False
91,31,2,2021-11-24,Replaced worn out parts,False
92,31,5,2022-02-14,Replaced worn out parts,True
93,31,7,2023-05-27,Cleaned machine,False
94,32,7,2021-02-11,Replaced worn out parts,True
95,32,4,2022-01-20,Replaced worn out parts,True
96,32,4,2023-08-13,Replaced worn out parts,True
97,33,7,2021-05-22,Cleaned machine,True
98,33,4,2022-04-05,Replaced worn out parts,True
99,33,4,2023-06-19,Replaced filters,True
100,34,1,2021-02-09,Lubricated moving components,False
101,34,7,2022-05-19,Lubricated moving components,False
102,34,3,2023-08-24,Cleaned machine,False
103,35,8,2021-03-17,Cleaned machine,True
104,35,5,2022-12-21,Cleaned machine,False
105,35,7,2023-03-21,Lubricated moving components,False
106,36,10,2021-11-21,Lubricated moving components,False
107,36,6,2022-12-31,Replaced worn out parts,False
108,36,1,2023-01-07,Lubricated moving components,False
109,37,5,2021-07-25,Replaced filters,False
110,37,7,2022-08-24,Lubricated moving components,True
111,37,9,2023-05-20,Lubricated moving components,True
112,38,4,2021-03-16,Checked calibration,True
113,38,2,2022-10-01,Cleaned machine,False
114,38,5,2023-05-08,Replaced worn out parts,True
115,39,8,2021-03-19,Replaced worn out parts,False
116,39,6,2022-09-19,Replaced filters,True
117,39,4,2023-02-19,Cleaned machine,True
118,40,6,2021-12-17,Replaced filters,True
119,40,3,2022-08-17,Lubricated moving components,True
120,40,1,2023-12-05,Cleaned machine,False
121,41,4,2021-11-04,Checked calibration,False
122,41,8,2022-09-23,Checked calibration,False
123,41,9,2023-11-25,Replaced worn out parts,True
124,42,2,2021-09-10,Cleaned machine,True
125,42,1,2022-11-15,Cleaned machine,False
126,42,9,2023-11-20,Replaced worn out parts,True
127,43,6,2021-06-22,Replaced filters,True
128,43,2,2022-06-05,Replaced filters,False
129,43,8,2023-04-15,Lubricated moving components,True
130,44,3,2021-09-26,Checked calibration,True
131,44,10,2022-12-06,Cleaned machine,False
132,44,3,2023-02-15,Lubricated moving components,True
133,45,5,2021-03-13,Replaced worn out parts,False
134,45,4,2022-10-05,Cleaned machine,False
135,45,1,2023-04-13,Cleaned machine,True
136,46,1,2021-07-09,Checked calibration,True
137,46,4,2022-02-07,Lubricated moving components,False
138,46,10,2023-02-10,Replaced filters,False
139,47,4,2021-03-19,Lubricated moving components,True
140,47,9,2022-03-06,Replaced worn out parts,True
141,47,5,2023-02-05,Replaced filters,False
142,48,9,2021-03-09,Lubricated moving components,True
143,48,2,2022-07-05,Cleaned machine,True
144,48,2,2023-05-19,Cleaned machine,True
145,49,6,2021-12-12,Replaced worn out parts,True
146,49,2,2022-05-09,Replaced worn out parts,True
