id,machine_id,date,oee,availability,performance,output_quality,status
1,1,2025-02-05,64.41,97.63,53.93,79.1,Offline
2,2,2025-02-05,82.66,53.59,58.97,59.07,Running
3,3,2025-02-05,72.76,85.78,85.97,55.2,Running
4,4,2025-02-05,75.19,56.51,65.55,60.06,Running
5,5,2025-02-05,68.84,60.89,66.65,61.14,Offline
6,6,2025-02-05,61.35,72.95,78.04,71.24,Running
7,7,2025-02-05,51.4,78.89,66.51,85.19,Running
8,8,2025-02-05,74.85,83.63,90.46,99.9,Running
9,9,2025-02-05,71.34,55.78,84.35,53.03,Running
10,10,2025-02-05,89.63,95.34,56.82,84.38,Offline
11,11,2025-02-05,84.79,86.5,56.97,57.99,Running
12,12,2025-02-05,73.79,88.91,67.05,96.37,Running
13,13,2025-02-05,57.61,69.65,79.24,73.83,Offline
14,14,2025-02-05,98.86,70.7,63.46,67.2,Running
15,15,2025-02-05,91.42,77.69,99.95,70.69,Running
16,16,2025-02-05,70.83,68.25,50.89,96.18,Running
17,17,2025-02-05,55.15,99.83,69.44,53.46,Running
18,18,2025-02-05,64.25,66.38,78.19,53.12,Running
19,19,2025-02-05,62.26,68.06,60.32,56.12,Offline
20,20,2025-02-05,82.18,54.35,76.14,78.24,Offline
21,21,2025-02-05,84.3,63.0,70.71,53.73,Running
22,22,2025-02-05,70.7,71.78,71.42,64.77,Running
23,23,2025-02-05,98.66,64.24,79.41,90.0,Running
24,24,2025-02-05,63.08,88.42,70.28,99.57,Running
25,25,2025-02-05,73.43,82.46,85.51,68.2,Running
26,26,2025-02-05,90.22,68.11,74.49,50.84,Offline
27,27,2025-02-05,91.61,85.6,82.01,53.67,Offline
28,28,2025-02-05,84.22,66.92,53.53,90.19,Running
29,29,2025-02-05,79.57,57.82,70.63,78.35,Offline
30,30,2025-02-05,60.52,62.61,75.66,91.91,Running
31,31,2025-02-05,85.35,91.5,97.93,54.29,Offline
32,32,2025-02-05,93.81,90.24,61.68,71.72,Offline
33,33,2025-02-05,99.97,67.81,81.54,65.56,Running
34,34,2025-02-05,51.7,51.6,79.6,58.17,Running
35,35,2025-02-05,57.78,85.16,53.42,68.03,Running
36,36,2025-02-05,79.72,95.79,56.44,76.66,Offline
37,37,2025-02-05,80.68,97.52,70.43,57.95,Running
38,38,2025-02-05,54.82,82.28,56.56,64.14,Offline
39,39,2025-02-05,51.02,99.24,99.61,74.52,Running
40,40,2025-02-05,69.4,91.15,54.15,93.99,Running
41,41,2025-02-05,80.73,78.01,89.6,99.01,Offline
42,42,2025-02-05,83.74,56.88,55.39,90.84,Offline
43,43,2025-02-05,95.56,68.34,91.02,55.38,Running
44,44,2025-02-05,79.21,91.45,70.9,76.78,Running
45,45,2025-02-05,96.01,83.72,54.97,98.0,Offline
46,46,2025-02-05,74.11,86.93,79.77,88.44,Offline
47,47,2025-02-05,50.18,62.6,72.47,75.19,Running
48,48,2025-02-05,53.66,58.11,53.67,85.78,Offline
49,49,2025-02-05,58.76,90.85,69.38,84.42,Running
50,50,2025-02-05,75.99,87.78,83.69,57.23,Running
51,1,2025-02-06,67.9,68.22,93.91,98.41,Running
52,2,2025-02-06,92.46,98.35,57.33,83.57,Offline
53,3,2025-02-06,65.63,91.99,58.52,67.69,Running
54,4,2025-02-06,79.6,63.04,78.53,55.98,Offline
55,5,2025-02-06,95.97,57.15,91.02,61.05,Offline
56,6,2025-02-06,77.83,95.6,77.15,76.79,Offline
57,7,2025-02-06,80.55,85.7,88.22,55.23,Running
58,8,2025-02-06,94.56,61.11,50.26,75.13,Offline
59,9,2025-02-06,86.2,93.05,62.68,84.11,Running
60,10,2025-02-06,61.59,82.52,99.62,97.28,Running
61,11,2025-02-06,51.68,68.82,69.47,54.7,Offline
62,12,2025-02-06,83.14,87.55,71.67,91.83,Running
63,13,2025-02-06,77.89,89.19,82.15,92.02,Running
64,14,2025-02-06,70.42,89.12,87.11,96.57,Running
65,15,2025-02-06,89.65,59.78,73.18,82.82,Offline
66,16,2025-02-06,96.44,67.12,97.44,65.61,Offline
67,17,2025-02-06,76.56,72.32,86.01,62.81,Offline
68,18,2025-02-06,93.34,90.93,59.8,56.08,Offline
69,19,2025-02-06,61.49,91.2,90.93,59.44,Offline
70,20,2025-02-06,52.31,67.7,76.57,90.17,Running
71,21,2025-02-06,95.09,93.17,69.87,78.81,Offline
72,22,2025-02-06,97.6,66.41,77.43,94.77,Offline
73,23,2025-02-06,81.55,90.12,95.64,67.2,Offline
74,24,2025-02-06,93.4,71.51,90.35,97.85,Offline
75,25,2025-02-06,78.55,71.27,77.31,55.86,Offline
76,26,2025-02-06,95.71,84.65,95.74,79.69,Offline
77,27,2025-02-06,71.62,63.09,91.03,53.05,Running
78,28,2025-02-06,55.3,74.13,73.27,96.58,Running
79,29,2025-02-06,85.82,78.16,88.35,80.89,Offline
80,30,2025-02-06,68.94,77.21,58.2,55.61,Running
81,31,2025-02-06,95.31,97.24,95.15,61.33,Offline
82,32,2025-02-06,82.6,87.32,76.55,78.54,Running
83,33,2025-02-06,52.73,78.31,84.2,89.18,Offline
84,34,2025-02-06,51.13,87.46,88.61,88.15,Offline
85,35,2025-02-06,82.84,75.06,67.59,88.81,Running
86,36,2025-02-06,68.05,86.27,69.17,82.47,Running
87,37,2025-02-06,86.22,74.63,67.33,66.2,Offline
88,38,2025-02-06,99.38,98.88,54.95,66.87,Running
89,39,2025-02-06,55.27,63.74,73.08,92.53,Offline
90,40,2025-02-06,72.03,75.93,73.4,50.37,Offline
91,41,2025-02-06,57.83,92.17,60.1,62.24,Running
92,42,2025-02-06,66.15,65.35,62.67,96.09,Running
93,43,2025-02-06,91.58,98.1,97.44,62.94,Running
94,44,2025-02-06,65.16,91.37,93.52,84.99,Offline
95,45,2025-02-06,98.6,58.28,78.85,64.0,Running
96,46,2025-02-06,50.56,94.76,75.99,76.62,Running
97,47,2025-02-06,91.4,99.48,51.71,87.72,Offline
98,48,2025-02-06,66.98,77.91,76.29,51.88,Running
99,49,2025-02-06,50.68,57.51,74.24,87.67,Offline
100,50,2025-02-06,94.57,56.71,84.2,91.69,Offline
101,1,2025-02-07,77.1,69.43,74.87,73.77,Running
102,2,2025-02-07,74.49,79.72,89.05,55.79,Offline
103,3,2025-02-07,86.15,88.26,64.4,88.89,Running
104,4,2025-02-07,59.63,93.03,51.49,60.5,Running
105,5,2025-02-07,83.19,72.3,94.14,50.34,Running
106,6,2025-02-07,75.73,96.56,90.31,78.11,Running
107,7,2025-02-07,72.37,98.5,84.38,70.76,Running
108,8,2025-02-07,70.36,61.86,87.11,68.34,Offline
109,9,2025-02-07,90.44,71.98,58.72,59.83,Running
110,10,2025-02-07,59.77,96.64,99.44,75.33,Running
111,11,2025-02-07,58.63,57.82,97.33,91.79,Running
112,12,2025-02-07,92.21,61.8,75.67,59.17,Offline
113,13,2025-02-07,61.38,84.29,74.49,80.88,Offline
114,14,2025-02-07,60.82,64.67,67.23,85.83,Running
115,15,2025-02-07,71.44,53.21,51.3,74.57,Offline
116,16,2025-02-07,95.73,82.28,68.27,83.52,Offline
117,17,2025-02-07,55.22,93.88,80.52,77.57,Offline
118,18,2025-02-07,63.52,79.41,68.86,95.91,Offline
119,19,2025-02-07,79.48,68.75,75.1,92.13,Running
120,20,2025-02-07,97.71,60.72,73.61,96.29,Offline
121,21,2025-02-07,59.7,62.57,91.29,75.01,Offline
122,22,2025-02-07,84.47,55.0,68.82,98.79,Running
123,23,2025-02-07,97.25,83.12,66.18,70.16,Offline
124,24,2025-02-07,85.73,91.1,77.66,52.28,Running
125,25,2025-02-07,55.08,63.1,54.59,67.03,Running
126,26,2025-02-07,89.45,72.83,68.31,86.49,Offline
127,27,2025-02-07,69.68,58.89,52.7,81.79,Offline
128,28,2025-02-07,67.2,73.32,84.52,61.2,Offline
129,29,2025-02-07,68.17,69.94,73.71,80.39,Running
130,30,2025-02-07,80.73,53.85,62.66,56.81,Offline
131,31,2025-02-07,82.23,79.72,62.71,78.21,Running
132,32,2025-02-07,72.48,50.33,91.19,95.34,Running
133,33,2025-02-07,68.06,89.68,78.61,81.36,Offline
134,34,2025-02-07,73.81,66.58,56.44,51.92,Running
135,35,2025-02-07,61.16,72.1,59.48,88.59,Running
136,36,2025-02-07,82.87,83.5,98.53,68.81,Offline
137,37,2025-02-07,50.44,50.95,60.2,80.03,Offline
138,38,2025-02-07,66.15,92.54,92.47,72.75,Running
139,39,2025-02-07,53.51,58.7,83.35,99.53,Offline
140,40,2025-02-07,70.14,56.88,83.1,87.22,Offline
141,41,2025-02-07,63.0,67.91,53.74,87.24,Running
142,42,2025-02-07,94.65,69.12,63.39,92.98,Running
143,43,2025-02-07,97.7,53.64,86.52,94.13,Offline
144,44,2025-02-07,96.08,78.77,61.28,62.5,Offline
145,45,2025-02-07,72.77,68.67,56.38,83.55,Running
146,46,2025-02-07,94.5,52.48,86.56,50.34,Running
147,47,2025-02-07,85.05,70.97,55.56,69.59,Offline
148,48,2025-02-07,94.69,92.12,73.76,72.64,Running
149,49,2025-02-07,62.73,94.57,65.28,51.37,Offline
150,50,2025-02-07,72.56,88.95,79.46,57.39,Running
151,1,2025-02-08,85.7,81.6,65.09,80.63,Offline
152,2,2025-02-08,86.74,85.06,91.32,72.73,Running
153,3,2025-02-08,81.54,90.85,76.78,53.59,Offline
154,4,2025-02-08,58.55,88.04,92.88,99.16,Running
155,5,2025-02-08,55.67,81.84,68.09,53.06,Offline
156,6,2025-02-08,98.08,88.46,95.7,88.57,Running
157,7,2025-02-08,89.68,92.14,75.98,69.55,Running
158,8,2025-02-08,86.77,84.97,88.65,64.67,Running
159,9,2025-02-08,85.43,62.5,88.58,74.62,Offline
160,10,2025-02-08,53.62,97.8,66.14,58.76,Offline
161,11,2025-02-08,80.35,88.48,58.46,86.43,Offline
162,12,2025-02-08,92.61,81.61,94.74,78.69,Running
163,13,2025-02-08,55.58,90.5,68.7,55.75,Offline
164,14,2025-02-08,75.0,97.38,84.34,62.65,Offline
165,15,2025-02-08,63.06,66.58,86.68,72.6,Offline
166,16,2025-02-08,76.57,73.46,77.11,85.91,Running
167,17,2025-02-08,58.25,76.27,75.64,91.72,Offline
168,18,2025-02-08,59.37,59.23,94.14,52.34,Offline
169,19,2025-02-08,69.63,65.19,63.9,65.83,Running
170,20,2025-02-08,68.95,96.99,62.01,75.62,Running
171,21,2025-02-08,79.65,69.5,99.99,79.05,Running
172,22,2025-02-08,74.79,75.93,90.08,98.65,Running
173,23,2025-02-08,52.26,77.72,59.01,87.44,Offline
174,24,2025-02-08,55.51,77.24,75.98,53.34,Running
175,25,2025-02-08,78.27,69.81,90.37,86.1,Running
176,26,2025-02-08,58.76,93.1,88.02,54.1,Offline
177,27,2025-02-08,68.85,50.24,50.89,61.12,Offline
178,28,2025-02-08,78.55,66.11,95.05,64.68,Running
179,29,2025-02-08,85.5,93.93,60.56,92.43,Offline
180,30,2025-02-08,78.3,95.91,99.16,78.99,Offline
181,31,2025-02-08,78.57,83.12,83.03,79.27,Running
182,32,2025-02-08,69.29,50.99,80.8,97.56,Running
183,33,2025-02-08,77.49,94.12,75.09,72.6,Running
184,34,2025-02-08,89.47,81.54,88.11,74.47,Running
185,35,2025-02-08,94.09,72.53,53.3,83.38,Offline
186,36,2025-02-08,57.35,78.87,65.81,58.93,Offline
187,37,2025-02-08,51.06,92.92,55.94,83.86,Running
188,38,2025-02-08,87.44,50.9,61.39,60.12,Offline
189,39,2025-02-08,98.51,99.32,83.79,75.11,Running
190,40,2025-02-08,85.79,83.66,84.91,97.16,Running
191,41,2025-02-08,71.56,88.24,64.89,99.14,Running
192,42,2025-02-08,63.97,81.38,85.34,79.82,Offline
193,43,2025-02-08,79.26,85.22,78.43,83.32,Running
194,44,2025-02-08,98.64,60.14,50.72,60.59,Running
195,45,2025-02-08,59.72,71.75,77.63,64.89,Running
196,46,2025-02-08,74.88,87.82,82.44,79.75,Running
197,47,2025-02-08,73.12,93.22,71.38,50.24,Running
198,48,2025-02-08,74.32,74.16,50.2,95.33,Running
199,49,2025-02-08,88.64,72.36,91.71,90.36,Running
200,50,2025-02-08,87.03,98.28,82.37,80.96,Offline
201,1,2025-02-09,85.38,99.75,60.11,65.67,Offline
202,2,2025-02-09,90.84,51.2,69.74,71.67,Running
203,3,2025-02-09,97.34,96.85,77.5,82.84,Offline
204,4,2025-02-09,94.59,52.31,77.37,80.35,Offline
205,5,2025-02-09,70.02,53.46,95.18,88.24,Offline
206,6,2025-02-09,94.71,96.22,51.71,79.31,Offline
207,7,2025-02-09,94.29,64.89,58.12,77.8,Offline
208,8,2025-02-09,61.18,58.53,93.55,87.73,Offline
209,9,2025-02-09,75.2,69.8,96.02,82.77,Running
210,10,2025-02-09,52.15,98.47,70.26,65.39,Running
211,11,2025-02-09,64.01,89.47,72.64,92.87,Running
212,12,2025-02-09,86.74,80.56,76.61,55.44,Running
213,13,2025-02-09,88.62,79.15,74.82,57.94,Running
214,14,2025-02-09,53.09,89.62,87.63,59.95,Offline
215,15,2025-02-09,79.56,58.64,73.18,60.85,Running
216,16,2025-02-09,83.58,77.71,78.63,94.74,Offline
217,17,2025-02-09,54.92,86.58,79.21,97.89,Running
218,18,2025-02-09,84.94,69.11,90.45,74.7,Running
219,19,2025-02-09,78.22,78.89,81.22,98.01,Offline
220,20,2025-02-09,63.99,71.85,86.2,98.03,Offline
221,21,2025-02-09,58.29,97.24,68.15,50.32,Running
222,22,2025-02-09,84.48,90.62,67.79,70.64,Offline
223,23,2025-02-09,83.57,80.32,68.63,92.16,Running
224,24,2025-02-09,88.22,72.32,71.21,98.12,Offline
225,25,2025-02-09,68.82,94.19,97.58,69.29,Running
226,26,2025-02-09,54.59,72.09,74.59,84.82,Offline
227,27,2025-02-09,54.43,66.66,54.04,65.92,Running
228,28,2025-02-09,61.98,66.75,87.51,85.86,Running
229,29,2025-02-09,75.77,80.57,76.84,96.62,Offline
230,30,2025-02-09,52.64,92.27,88.22,81.36,Running
231,31,2025-02-09,98.89,95.27,78.11,82.69,Offline
232,32,2025-02-09,75.82,97.29,54.54,69.15,Offline
233,33,2025-02-09,59.74,83.28,80.69,81.37,Offline
234,34,2025-02-09,97.89,86.77,93.82,59.22,Running
235,35,2025-02-09,61.67,73.14,91.64,95.71,Offline
236,36,2025-02-09,71.14,55.9,70.25,93.77,Running
237,37,2025-02-09,50.5,67.56,75.37,92.27,Offline
238,38,2025-02-09,55.28,90.76,69.0,57.15,Offline
239,39,2025-02-09,92.22,51.18,98.41,99.97,Offline
240,40,2025-02-09,78.04,87.01,60.4,96.58,Running
241,41,2025-02-09,79.68,81.17,96.91,88.8,Running
242,42,2025-02-09,53.54,96.08,66.44,55.37,Running
243,43,2025-02-09,65.85,81.4,57.0,69.16,Offline
244,44,2025-02-09,85.02,57.68,63.21,89.63,Offline
245,45,2025-02-09,61.36,63.0,82.42,97.28,Offline
246,46,2025-02-09,92.32,83.27,75.56,90.18,Running
247,47,2025-02-09,59.04,85.73,99.25,81.59,Offline
248,48,2025-02-09,98.98,75.51,62.29,84.66,Offline
249,49,2025-02-09,66.77,83.03,65.6,72.98,Offline
250,50,2025-02-09,64.63,64.41,63.47,78.44,Offline
251,1,2025-02-10,93.08,51.5,56.69,71.23,Running
252,2,2025-02-10,90.27,92.38,64.8,71.92,Offline
253,3,2025-02-10,73.32,55.62,51.51,78.78,Offline
254,4,2025-02-10,70.43,99.4,82.41,98.34,Offline
255,5,2025-02-10,84.61,70.86,93.44,58.65,Offline
